date,total_cases,new_cases,total_deaths,total_cases_per_million,new_cases_per_million
2021-07-01,272784,876,5000,54743.981,175.801
2021-07-02,273296,512,5000,54846.732,102.751
2021-07-03,273744,448,5000,54936.639,89.907
2021-07-04,274306,562,5000,55049.425,112.786
2021-07-05,274641,335,5000,55116.655,67.23
2021-07-06,275038,397,5000,55196.327,79.672
2021-07-07,275571,533,5006,55303.293,106.966
2021-07-08,276104,533,5006,55410.259,106.966
2021-07-09,276735,631,5006,55536.892,126.633
2021-07-10,277316,581,5006,55653.49,116.599
2021-07-11,277892,576,5006,55769.086,115.595
2021-07-12,278464,572,5006,55883.878,114.792
2021-07-13,279053,589,5006,56002.082,118.204
2021-07-14,279790,737,5018,56149.988,147.906
2021-07-15,280784,994,5018,56349.47,199.482
2021-07-16,281954,1170,5018,56584.273,234.803
2021-07-17,283331,1377,5018,56860.618,276.345
2021-07-18,284510,1179,5018,57097.227,236.609
2021-07-19,285581,1071,5018,57312.162,214.935
2021-07-20,286691,1110,5018,57534.923,222.762
2021-07-21,287951,1260,5026,57787.788,252.865
2021-07-22,289139,1188,5026,58026.203,238.415
2021-07-23,290525,1386,5026,58304.354,278.151
2021-07-24,291870,1345,5026,58574.277,269.923
2021-07-25,292996,1126,5026,58800.25,225.973
2021-07-26,294272,1276,5026,59056.325,256.076
2021-07-27,295386,1114,5026,59279.89,223.564
2021-07-28,296687,1301,5035,59540.983,261.093
2021-07-29,298048,1361,5035,59814.116,273.134
2021-07-30,299549,1501,5035,60115.346,301.23
2021-07-31,300976,1427,5035,60401.726,286.379
2021-08-01,302074,1098,5035,60622.079,220.353
2021-08-02,303426,1352,5035,60893.407,271.328
2021-08-03,304310,884,5035,61070.813,177.407
2021-08-04,305527,1217,5044,61315.048,244.235
2021-08-05,307019,1492,5044,61614.472,299.424
2021-08-06,308800,1781,5044,61971.894,357.422
2021-08-07,310628,1828,5044,62338.749,366.854
2021-08-08,312465,1837,5044,62707.409,368.661
2021-08-09,313876,1411,5044,62990.577,283.168
2021-08-10,315385,1509,5044,63293.413,302.835
2021-08-11,317204,1819,5059,63658.461,365.048
2021-08-12,318937,1733,5059,64006.25,347.789
2021-08-13,320915,1978,5059,64403.207,396.957
2021-08-14,322989,2074,5059,64819.431,416.223
2021-08-15,324747,1758,5059,65172.237,352.806
2021-08-16,326188,1441,5059,65461.426,289.189
2021-08-17,327684,1496,5059,65761.652,300.227
2021-08-18,329388,1704,5074,66103.622,341.969
2021-08-19,331206,1818,5074,66468.469,364.847
2021-08-20,333304,2098,5074,66889.509,421.04
2021-08-21,335429,2125,5074,67315.967,426.458
2021-08-22,337117,1688,5074,67654.725,338.758
2021-08-23,338707,1590,5074,67973.816,319.091
2021-08-24,340278,1571,5074,68289.094,315.278
2021-08-25,342329,2051,5092,68700.701,411.607
2021-08-26,344195,1866,5092,69075.182,374.48
2021-08-27,346070,1875,5092,69451.468,376.287
2021-08-28,348067,1997,5092,69852.239,400.77
2021-08-29,349773,1706,5092,70194.609,342.371
2021-08-30,351065,1292,5092,70453.896,259.287
2021-08-31,352447,1382,5092,70731.244,277.348
2021-09-01,354236,1789,5112,71090.272,359.028
2021-09-02,352529,,5112,70747.701,
2021-09-03,353936,1407,5112,71030.066,282.365
2021-09-04,355639,1703,5112,71371.835,341.769
2021-09-05,356819,1180,5112,71608.644,236.81
2021-09-06,357955,1136,5112,71836.624,227.98
2021-09-07,359420,1465,5112,72130.629,294.005
2021-09-08,360957,1537,5155,72439.084,308.455
2021-09-09,362228,1271,5155,72694.156,255.072
2021-09-10,363847,1619,5155,73019.067,324.911
2021-09-11,365313,1466,5155,73313.273,294.206
2021-09-12,366659,1346,5155,73583.396,270.124
2021-09-13,367536,877,5155,73759.398,176.002
2021-09-14,368712,1176,5155,73995.405,236.007
2021-09-15,367536,,5179,73759.398,
2021-09-16,371301,3765,5179,74514.982,755.583
2021-09-17,372687,1386,5179,74793.133,278.151
2021-09-18,374143,1456,5179,75085.332,292.199
2021-09-19,375367,1224,5179,75330.972,245.64
2021-09-20,376517,1150,5179,75561.761,230.789
2021-09-21,377937,1420,5179,75846.735,284.974
2021-09-22,379366,1429,5209,76133.516,286.781
2021-09-23,380720,1354,5209,76405.245,271.729
2021-09-24,381883,1163,5209,76638.643,233.398
2021-09-25,383218,1335,5209,76906.559,267.916
2021-09-26,384677,1459,5209,77199.36,292.801
2021-09-27,385721,1044,5209,77408.876,209.516
2021-09-28,387218,1497,5209,77709.304,300.427
2021-09-29,388665,1447,5249,77999.697,290.393
2021-09-30,389932,1267,5249,78253.966,254.269
2021-10-01,390989,1057,5249,78466.091,212.125
2021-10-02,392575,1586,5249,78784.38,318.288
2021-10-03,393626,1051,5249,78995.301,210.921
2021-10-04,394519,893,5249,79174.513,179.213
2021-10-05,395643,1124,5249,79400.085,225.571
2021-10-06,396625,982,5280,79597.159,197.074
2021-10-07,397831,1206,5280,79839.186,242.028
2021-10-08,399833,2002,5280,80240.96,401.774
2021-10-09,401773,1940,5280,80630.291,389.331
2021-10-10,403157,1384,5280,80908.041,277.75
2021-10-11,404514,1357,5280,81180.372,272.331
2021-10-12,405970,1456,5280,81472.571,292.199
2021-10-13,408021,2051,5306,81884.178,411.607
2021-10-14,409647,1626,5306,82210.494,326.316
2021-10-15,411554,1907,5306,82593.203,382.709
2021-10-16,413734,2180,5306,83030.699,437.496
2021-10-17,415114,1380,5306,83307.646,276.947
2021-10-18,416690,1576,5306,83623.927,316.281
2021-10-19,419087,2397,5306,84104.972,481.045
2021-10-20,421234,2147,5369,84535.845,430.873
2021-10-21,423260,2026,5369,84942.435,406.59
2021-10-22,425725,2465,5369,85437.127,494.691
2021-10-23,428152,2427,5369,85924.192,487.065
2021-10-24,429877,1725,5369,86270.376,346.184
2021-10-25,431722,1845,5369,86640.642,370.266
2021-10-26,433902,2180,5369,87078.138,437.496
2021-10-27,435526,1624,5436,87404.052,325.914
2021-10-28,438124,2598,5436,87925.435,521.383
