date,total_cases,new_cases,icu_patients,hosp_patients
2021-10-03,393626,1051,60,319
2021-10-04,394519,893,64,333
2021-10-05,395643,1124,65,349
2021-10-06,396625,982,70,343
2021-10-07,397831,1206,69,355
2021-10-08,399833,2002,73,354
2021-10-09,401773,1940,74,353
2021-10-10,403157,1384,74,382
2021-10-11,404514,1357,75,400
2021-10-12,405970,1456,73,402
2021-10-13,408021,2051,69,408
2021-10-14,409647,1626,70,415
2021-10-15,411554,1907,73,413
2021-10-16,413734,2180,71,406
2021-10-17,415114,1380,74,459
2021-10-18,416690,1576,73,484
2021-10-19,419087,2397,74,472
2021-10-20,421234,2147,86,464
2021-10-21,423260,2026,88,448
2021-10-22,425725,2465,90,457
2021-10-23,428152,2427,93,450
2021-10-24,429877,1725,97,471
2021-10-25,431722,1845,99,497
2021-10-26,433902,2180,97,513
2021-10-27,435526,1624,101,503
2021-10-28,438124,2598,99,487
2021-10-29,440665,2541,97,481
2021-10-30,443631,2966,92,470
2021-10-31,445594,1963,93,500
2021-11-01,448449,2855,91,515
2021-11-02,452172,3723,90,493
2021-11-03,455346,3174,86,460
2021-11-04,458370,3024,90,458
2021-11-05,462273,3903,76,464
2021-11-06,465958,3685,74,444
2021-11-07,469386,3428,75,478
2021-11-08,472547,3161,78,498
2021-11-09,477878,5331,83,520
2021-11-10,480846,2968,89,551
2021-11-11,484523,3677,97,543
2021-11-12,490001,5478,96,549
2021-11-13,494643,4642,107,556
2021-11-14,498448,3805,106,582
2021-11-15,503006,4558,117,622
2021-11-16,507413,4407,114,614
2021-11-17,511045,3632,119,634
2021-11-18,515691,4646,118,643
2021-11-19,518824,3133,118,643
2021-11-20,524783,5959,121,640
2021-11-21,528964,4181,125,669
2021-11-22,534594,5630,126,685
2021-11-23,538255,3661,130,638
2021-11-24,542146,3891,132,611
2021-11-25,546909,4763,126,598
2021-11-26,551528,4619,118,572
2021-11-27,556319,4791,121,536
2021-11-28,560054,3735,117,566
2021-11-29,564657,4603,115,579
2021-11-30,570115,5458,122,579
2021-12-01,573905,3790,117,578
2021-12-02,578064,4159,117,545
2021-12-03,583472,5408,110,528
2021-12-04,589094,5622,114,487
2021-12-05,594250,5156,110,503
2021-12-06,597161,2911,110,536
2021-12-07,602726,5565,117,505
2021-12-08,606852,4126,118,543
2021-12-09,610855,4003,115,530
2021-12-10,614952,4097,110,511
2021-12-11,618956,4004,111,481
2021-12-12,623623,4667,109,504
2021-12-13,628306,4683,108,518
2021-12-14,632177,3871,109,493
2021-12-15,636407,4230,105,470
2021-12-16,640548,4141,108,443
2021-12-17,644143,3595,105,420
2021-12-18,651476,7333,107,410
2021-12-19,656600,5124,107,436
2021-12-20,661388,4788,104,467
2021-12-21,666657,5269,102,443
2021-12-22,672964,6307,100,429
2021-12-23,680375,7411,98,390
2021-12-24,691557,11182,89,393
2021-12-25,705322,13765,87,378
2021-12-26,715726,10404,91,426
2021-12-27,722461,6735,91,462
2021-12-28,731467,9006,92,521
2021-12-29,747895,16428,93,568
2021-12-30,768449,20554,88,619
2021-12-31,788559,20110,86,682
2022-01-01,811840,23281,85,656
2022-01-02,811840,0,87,717
2022-01-03,845897,34057,93,804
2022-01-04,867199,21302,90,884
2022-01-05,884855,17656,94,928
2022-01-06,908672,23817,90,941
2022-01-07,930598,21926,84,936
2022-01-08,956720,26122,83,917
2022-01-09,978104,21384,83,984
2022-01-10,978104,0,89,1063
2022-01-11,1021303,43199,92,1062
2022-01-12,1042212,20909,92,1055
2022-01-13,1061116,18904,92,1011
2022-01-14,1078181,17065,83,1020
2022-01-15,1092736,14555,89,940
2022-01-16,1103489,10753,88,961
2022-01-17,1109818,6329,97,1006
2022-01-18,1115585,5767,93,979
2022-01-19,1122428,6843,90,911
2022-01-20,1127951,5523,90,896
2022-01-21,1134548,6597,88,892
2022-01-22,1141237,6689,78,836
2022-01-23,1145968,4731,79,845
2022-01-24,1149660,3692,76,885
2022-01-25,1153666,4006,79,824
2022-01-26,1159271,5605,74,739
2022-01-27,1164536,5265,71,708
2022-01-28,1169645,5109,69,707
2022-01-29,1169645,0,66,649
2022-01-30,1169645,0,74,651
2022-01-31,1183008,13363,75,692
2022-02-01,1187216,4208,66,657
2022-02-02,1193156,5940,65,630
2022-02-03,1199217,6061,63,609
2022-02-04,1205914,6697,66,597
2022-02-05,1205914,0,67,581
2022-02-06,1205914,0,73,615
2022-02-07,1221082,15168,76,643
2022-02-08,1224862,3780,72,646
2022-02-09,1230539,5677,68,627
2022-02-10,1236188,5649,63,595
2022-02-11,1242806,6618,64,614
2022-02-12,1242806,0,62,579
2022-02-13,1242806,0,65,609
2022-02-14,1255571,12765,67,665
2022-02-15,1250039,,63,637
