Country Name,1970,1990,2010,2020
Benin,25.8277580702377,44.1511972330614,81.5826002128414,107.513284852785
Burkina Faso,20.5577192982456,32.2040679824561,57.0365899122807,76.4008698830409
Bulgaria,76.7384434601826,78.8058302449607,68.1245302137067,63.8726510685335
Bosnia and Herzegovina,73.44796875,87.1762109375,72.3726171875,64.07841796875
Belarus,44.5671465194242,50.2334253598896,46.7414292755052,46.211212927382
Belize,5.35659798334064,8.22244629548444,14.1370013152126,17.4318719859711
Bolivia,4.13920797563002,6.3369694452137,9.27591341272039,10.7754352441614
Brazil,11.3797166594482,17.8273186378788,23.4159318939381,25.4314248146119
Brunei Darussalam,24.5787476280835,49.0918406072106,73.7445920303605,83.0138519924099
Bhutan,6.36318301478929,11.3605932838217,17.9841540519978,20.2310435238595
Botswana,1.10760679688741,2.27049212146878,3.50626577029626,4.14946270710921
Central African Republic,2.90724742367331,4.50534527593181,7.04158239429837,7.75267905871778
Canada,2.37842685199747,3.08860186557717,3.79282222363503,4.23901137571537
Central Europe and the Baltics,89.639404444782,100.235809077629,94.5707496597873,92.4307716477695
Switzerland,156.367056263914,169.888411039996,198.018751897965,218.566895510506
Chile,13.1576502423568,17.8534575512554,22.9479444058897,25.710001721513
China,86.8266363916093,120.448249116415,141.936072304132,149.705447160568
Cote d'Ivoire,16.0442452830189,37.4996006289308,64.5690062893082,82.9505503144654
Cameroon,13.7922912567959,24.92032324258,43.0311099828648,56.1567641894608
"Congo, Dem. Rep.",8.82690412650802,15.2674281555325,28.4792364526587,39.5057030061093
"Congo, Rep.",3.88548755490483,6.9011420204978,12.5146061493411,16.1583953147877
Colombia,19.3601297881929,29.8355736818387,40.7595304191077,45.8610941865705
Cabo Verde,66.6583126550868,83.8593052109181,122.244168734491,137.962282878412
Costa Rica,36.1808460634548,61.0935370152761,89.6469056012534,99.7672150411281
Caribbean small states,12.08854743083,14.8431814252192,17.224139804866,18.3828356181302
Cuba,81.1222998137803,98.6683985102421,105.466300263059,109.119614643545
Cayman Islands,38.0958333333333,105.445833333333,236.133333333333,273.833333333333
Cyprus,66.4088744588745,82.9670995670996,120.413095238095,130.666774891775
Czech Republic,127.579539277857,133.7304904879,135.608622475401,138.586735751295
Germany,223.897370606937,227.517053819494,234.606908225034,238.252118037667
Djibouti,6.88792062122519,25.4699309749784,36.246505608283,42.6230371009491
Denmark,116.326575407128,121.277164425572,130.749069054914,145.7851
Dominican Republic,93.1426619747464,147.660753467191,200.685510246326,224.547795487477
Algeria,6.07328759646309,10.8151485888468,15.1055325098457,18.4113398560129
East Asia & Pacific (excluding high income),69.9754915421552,100.544546988589,123.256159955906,131.954405212868
Early-demographic dividend,37.5065476938325,61.0298645731281,87.4869010749542,100.010058376657
East Asia & Pacific,52.7622564111377,74.5661786665586,90.3596479898673,96.3518799817919
Europe & Central Asia (excluding high income),13.8670305985087,16.9797248605843,17.5952168223041,18.5716414252807
Europe & Central Asia,26.9253623510828,30.7242030968725,32.3537969343473,33.6438352636822
Ecuador,21.9237646293888,36.9561154457448,60.4409486229667,71.0382509260751
"Egypt, Arab Rep.",34.67160681099,56.391057310764,83.1395288562962,102.802152795218
Euro area,107.268343654291,116.214227256163,125.538791894536,127.849337755221
Eritrea,12.9796732673267,22.3628613861386,31.3904653465347,35.1131386138614
Spain,67.6588318860299,77.8218044209515,93.1519309613808,94.7782971703446
Estonia,32.0848313281434,37.0175513092711,31.4101203113942,30.6201288244767
Ethiopia,25.8084287011807,43.494881017257,77.6087666681226,101.800711323583
European Union,96.5367567572971,105.108936301902,110.409044354971,111.960921399752
Fragile and conflict affected situations,13.2949783140233,22.1202839545212,36.8471529522311,46.6213101572856
Finland,15.1229751469188,16.3709609639187,17.6484106614018,18.1979435377731
Fiji,28.4926655719759,39.8782156540777,47.0616310892173,49.0664477285167
France,94.8885559001107,106.353783836104,118.759334644612,123.076834009975
Faroe Islands,27.9426934097421,33.865329512894,34.2428366762178,35.0035816618911
"Micronesia, Fed. Sts.",,,147.022857142857,164.315714285714
Gabon,2.28709977878682,3.68491869445415,6.30320176970544,8.63790119144642
Georgia,72.0791490255082,84.0127366247944,66.2496063543161,64.9777808880647
Ghana,38.391021358882,64.9260525621869,108.902232574492,136.560363013097
Guinea,16.9078870258831,25.8517092625753,41.4787888653752,53.446166368224
"Gambia, The",45.8897233201581,94.4263833992095,177.193577075099,238.800790513834
Guinea-Bissau,25.0688833570413,34.6822546230441,54.1466216216216,69.9857041251778
Croatia,78.9170452512967,85.4474691468431,76.758881343817,71.5179360311009
Hungary,114.89119804401,115.433270279292,110.460874848117,106.835009861933
Ireland,42.9271302075773,51.0084772826245,66.1947307301495,72.5028886630861
"Iran, Islamic Rep.",17.5064908273779,34.6068248237923,45.2875310051819,51.5686491564135
Iceland,2.03928179551122,2.54190523690773,3.17247880299252,3.63408707725875
Italy,182.999047975247,192.850430111183,201.527901679472,200.026947234071
