Date,New Cases,New Deaths,Hospital Patients,ICU Patients,New Tests,New Vaccinations
2021-05-15,461,0,,40,21847,24287
2021-05-16,375,0,,42,14373,39388
2021-05-17,379,0,110,42,13345,51583
2021-05-18,365,0,102,39,16964,54744
2021-05-19,526,0,101,38,20743,58801
2021-05-20,470,0,103,38,18572,63932
2021-05-21,533,0,107,38,18950,40285
2021-05-22,384,0,110,42,23519,23894
2021-05-23,447,0,116,43,16285,39112
2021-05-24,349,0,127,44,12772,49963
2021-05-25,353,0,103,41,16092,48348
2021-05-26,445,0,99,41,21087,53483
2021-05-27,432,0,101,39,17794,60285
2021-05-28,461,0,99,38,17881,32307
2021-05-29,456,0,90,35,18905,26048
2021-05-30,367,0,99,35,16723,33226
2021-05-31,370,0,98,35,14129,42559
2021-06-01,337,0,89,34,16921,43460
2021-06-02,407,0,93,34,23042,49237
2021-06-03,465,0,84,30,19005,52409
2021-06-04,517,0,86,28,19272,32368
2021-06-05,416,0,74,29,19182,23788
2021-06-06,313,0,70,27,14558,24300
2021-06-07,377,0,69,26,13686,44690
2021-06-08,239,0,77,27,12211,52930
2021-06-09,227,0,76,27,15850,55301
2021-06-10,398,0,70,23,17980,59238
2021-06-11,319,0,60,23,16980,31920
2021-06-12,431,0,58,22,17777,27479
2021-06-13,315,0,62,22,14404,47255
2021-06-14,202,0,67,23,11377,56317
2021-06-15,283,0,60,23,13889,61902
2021-06-16,287,0,57,19,17356,64644
2021-06-17,373,38,54,18,17936,62500
2021-06-18,302,0,53,15,15662,39422
2021-06-19,393,0,48,14,17162,34747
2021-06-20,393,0,49,15,13845,48232
2021-06-21,284,0,53,13,10994,59263
2021-06-22,174,0,39,13,14078,60216
2021-06-23,298,10,41,13,18414,64175
2021-06-24,304,0,47,13,17237,66026
2021-06-25,380,0,38,13,17450,39971
2021-06-26,443,0,43,13,18725,39169
2021-06-27,340,0,47,15,14771,49237
2021-06-28,329,0,49,16,13363,59815
2021-06-29,342,0,46,16,15721,59825
2021-06-30,,9,44,14,20569,63733
2021-07-01,876,2,44,14,19135,61558
2021-07-02,512,0,46,14,18961,40149
2021-07-03,448,0,42,14,20129,34353
2021-07-04,562,0,48,14,17150,54166
2021-07-05,335,0,51,14,13733,66056
2021-07-06,397,0,54,16,16463,68325
2021-07-07,533,6,60,17,22292,69164
2021-07-08,533,0,58,17,20558,64987
2021-07-09,631,0,50,15,19848,36690
2021-07-10,581,0,52,16,20023,33393
2021-07-11,576,0,58,16,18603,54760
2021-07-12,572,0,63,16,15286,64960
2021-07-13,589,0,62,17,15775,65641
2021-07-14,737,12,73,20,20989,61842
2021-07-15,994,0,80,22,19504,59943
2021-07-16,1170,0,79,23,20952,35459
2021-07-17,1377,0,78,22,22292,34488
2021-07-18,1179,0,91,22,19210,49353
2021-07-19,1071,0,101,20,17005,56258
2021-07-20,1110,0,89,21,20211,56870
2021-07-21,1260,8,96,22,24462,56213
2021-07-22,1188,0,95,23,21846,53328
2021-07-23,1386,0,106,22,21509,32364
2021-07-24,1345,0,105,21,22454,29288
2021-07-25,1126,0,123,22,17094,45335
2021-07-26,1276,0,141,25,17517,52845
2021-07-27,1114,0,142,27,17496,51777
2021-07-28,1301,9,152,26,22792,49907
2021-07-29,1361,0,162,26,19948,46791
2021-07-30,1501,0,169,23,22408,26974
2021-07-31,1427,0,164,26,19688,20656
2021-08-01,1098,0,163,26,18374,31273
2021-08-02,1352,0,177,27,12584,43716
2021-08-03,884,0,178,29,14841,40793
2021-08-04,1217,9,187,30,19997,44818
2021-08-05,1492,0,193,28,20564,37719
2021-08-06,1781,0,189,30,22005,15248
